idfcod,idfarr,"idfarr,idfcod"
50078958,armyoso2,"armyoso2,50078958"
50078959,armarg4,"armarg4,50078959"
50078960,arplca2,"arplca2,50078960"
50078961,arherev1,"arherev1,50078961"
50078962,meplvi1,"meplvi1,50078962"
50078963,valegli1,"valegli1,50078963"
50078964,epirhus1,"epirhus1,50078964"
50078965,thmonum1,"thmonum1,50078965"
50078966,harfay1,"harfay1,50078966"
50078968,macesha1,"macesha1,50078968"
50078969,macesha2,"macesha2,50078969"
50078971,harfay2,"harfay2,50078971"
50078972,thmonum2,"thmonum2,50078972"
50078973,epirhus2,"epirhus2,50078973"
50078974,valegli2,"valegli2,50078974"
50078975,meplvi2,"meplvi2,50078975"
50078976,arherev2,"arherev2,50078976"
50078977,arplca1,"arplca1,50078977"
50078978,armarg3,"armarg3,50078978"
50078979,armyoso1,"armyoso1,50078979"
50078980,belavoi2,"belavoi2,50078980"
50078981,beabvi2,"beabvi2,50078981"
50078982,harchma1,"harchma1,50078982"
50078984,hartuil1,"hartuil1,50078984"
50078985,harconn1,"harconn1,50078985"
50078986,harquon1,"harquon1,50078986"
50078987,harrayo1,"harrayo1,50078987"
50078988,harsaus1,"harsaus1,50078988"
50078989,harruel1,"harruel1,50078989"
50078990,heaabri1,"heaabri1,50078990"
50078991,nvexpla1,"nvexpla1,50078991"
50078992,chachap1,"chachap1,50078992"
50078993,chachap2,"chachap2,50078993"
50078994,nvexpla2,"nvexpla2,50078994"
50078995,heaabri2,"heaabri2,50078995"
50078996,hartuil2,"hartuil2,50078996"
50078997,harchma2,"harchma2,50078997"
50078998,beabvi1,"beabvi1,50078998"
50078999,belavoi1,"belavoi1,50078999"
50079000,eplatu1,"eplatu1,50079000"
50079001,epregl1,"epregl1,50079001"
50079002,epimai1,"epimai1,50079002"
50079003,grstad1,"grstad1,50079003"
50079004,grsole1,"grsole1,50079004"
50079005,breaegl1,"breaegl1,50079005"
50079006,marous1,"marous1,50079006"
50079007,marpeyr1,"marpeyr1,50079007"
50079008,maduda1,"maduda1,50079008"
50079010,marpeyr2,"marpeyr2,50079010"
50079011,marous2,"marous2,50079011"
50079012,breaegl2,"breaegl2,50079012"
50079013,grsole2,"grsole2,50079013"
50079014,grstad2,"grstad2,50079014"
50079015,epimai2,"epimai2,50079015"
50079016,epregl2,"epregl2,50079016"
50079017,eplatu2,"eplatu2,50079017"
50079018,abltran1,"abltran1,50079018"
50079019,usmairi2,"usmairi2,50079019"
50079020,freegl1,"freegl1,50079020"
50079021,cofrem1,"cofrem1,50079021"
50079022,ard9151,"ard9151,50079022"
50079023,ard9152,"ard9152,50079023"
50079024,cofrem2,"cofrem2,50079024"
50079025,freegl2,"freegl2,50079025"
50079026,usmairi1,"usmairi1,50079026"
50079027,abltran2,"abltran2,50079027"
50079030,hearosn3,"hearosn3,50079030"
50079031,GerCtre2,"GerCtre2,50079031"
50079032,gecha2,"gecha2,50079032"
50079033,gerufos2,"gerufos2,50079033"
50079035,osdlie2,"osdlie2,50079035"
50079036,polouvr2,"polouvr2,50079036"
50079037,pontpis1,"pontpis1,50079037"
50079038,pocitad1,"pocitad1,50079038"
50079039,pontpos1,"pontpos1,50079039"
50079040,pohodi2,"pohodi2,50079040"
50079042,cerpref2,"cerpref2,50079042"
50079043,cerpref1,"cerpref1,50079043"
50079045,pohodi1,"pohodi1,50079045"
50079046,pontpos2,"pontpos2,50079046"
50079047,pocitad2,"pocitad2,50079047"
50079048,pontpis2,"pontpis2,50079048"
50079049,polouvr1,"polouvr1,50079049"
50079050,osdlie1,"osdlie1,50079050"
50079052,gerufos1,"gerufos1,50079052"
50079053,gecha1,"gecha1,50079053"
50079054,GerCtre1,"GerCtre1,50079054"
50079055,hearosn4,"hearosn4,50079055"
50079056,arlavoi2,"arlavoi2,50079056"
50079057,fromess2,"fromess2,50079057"
50079058,frogrue2,"frogrue2,50079058"
50079059,fromair4,"fromair4,50079059"
50079060,labiar2,"labiar2,50079060"
