ZDEP,HASTUS,"HASTUS,ZDEP"
50095560,freegli2,"freegli2,50095560"
50095549,freegli2,"freegli2,50095549"
50095538,fremars2,"fremars2,50095538"
50094780,anelycee,"anelycee,50094780"
50095409,brvphar2,"brvphar2,50095409"
50094810,brvphar2,"brvphar2,50094810"
50095405,brvscel,"brvscel,50095405"
50095108,brvscel,"brvscel,50095108"
50095411,brvthir2,"brvthir2,50095411"
50095094,brvthir2,"brvthir2,50095094"
50095410,brvtran2,"brvtran2,50095410"
50095113,brvtran2,"brvtran2,50095113"
50095543,bucmair1,"bucmair1,50095543"
50094779,anelycee,"anelycee,50094779"
50095450,demscol,"demscol,50095450"
50095098,demscol,"demscol,50095098"
50094790,dreanes2,"dreanes2,50094790"
50094789,dreanes2,"dreanes2,50094789"
50094786,dredega2,"dredega2,50094786"
50094930,limgar2,"limgar2,50094930"
50095181,freclea,"freclea,50095181"
50095180,freclea,"freclea,50095180"
50095169,frecomm1,"frecomm1,50095169"
50095168,frecomm1,"frecomm1,50095168"
50095183,frecria,"frecria,50095183"
50095182,frecria,"frecria,50095182"
50094929,limgar2,"limgar2,50094929"
50095504,rosvala,"rosvala,50095504"
50095537,fregoug,"fregoug,50095537"
50095536,fregoug,"fregoug,50095536"
50095503,rosvalr,"rosvalr,50095503"
50095190,fremars2,"fremars2,50095190"
50095396,bcolav2,"bcolav2,50095396"
50095395,bcolav2,"bcolav2,50095395"
50095327,garrangr,"garrangr,50095327"
50095206,garrangr,"garrangr,50095206"
50095351,garsour,"garsour,50095351"
50095346,garsour,"garsour,50095346"
50094785,dredega2,"dredega2,50094785"
50095249,limmonu,"limmonu,50095249"
50095375,limlafa2,"limlafa2,50095375"
50095338,limlafa2,"limlafa2,50095338"
50095342,lvimonu,"lvimonu,50095342"
50095248,lvimonu2,"lvimonu2,50095248"
50095343,lvimonu2,"lvimonu2,50095343"
50095022,murgare,"murgare,50095022"
50095023,murgare2,"murgare2,50095023"
50095516,neapuce,"neapuce,50095516"
50095118,magsand1,"magsand1,50095118"
50095117,magsand1,"magsand1,50095117"
50094769,marcill,"marcill,50094769"
50094768,marcill,"marcill,50094768"
50095553,marlau2,"marlau2,50095553"
50095552,marlau2,"marlau2,50095552"
50095262,mljga112,"mljga112,50095262"
50095388,neapuce,"neapuce,50095388"
50094989,mljhlvi1,"mljhlvi1,50094989"
50094988,mljhlvi1,"mljhlvi1,50094988"
50094993,mljplju1,"mljplju1,50094993"
50094992,mljplju1,"mljplju1,50094992"
50094997,mljsangl,"mljsangl,50094997"
50094996,mljsangl,"mljsangl,50094996"
50094995,mljsmac1,"mljsmac1,50094995"
50094994,mljsmac1,"mljsmac1,50094994"
50094985,garemlj7,"garemlj7,50094985"
50094971,magpark,"magpark,50094971"
50095381,mlvccla2,"mlvccla2,50095381"
50095380,mlvccla2,"mlvccla2,50095380"
50094970,magpark,"magpark,50094970"
50095468,mljga112,"mljga112,50095468"
50094984,mljsncf2,"mljsncf2,50094984"
50095260,mljsnc10,"mljsnc10,50095260"
50095511,neacou2,"neacou2,50095511"
50095027,neacou2,"neacou2,50095027"
50112244,garemlj9,"garemlj9,50112244"
50112243,garemlj9,"garemlj9,50112243"
50095519,perapre,"perapre,50095519"
50095124,perapre,"perapre,50095124"
50095551,perbutte,"perbutte,50095551"
50095550,perbutte,"perbutte,50095550"
50112291,rosmure1,"rosmure1,50112291"
50112294,rosmure1,"rosmure1,50112294"
50112290,rosmure2,"rosmure2,50112290"
50112293,rosmure2,"rosmure2,50112293"
50095000,mlvsncf1,"mlvsncf1,50095000"
50095288,rosvala,"rosvala,50095288"
50094999,sncfmlv1,"sncfmlv1,50094999"
50095289,rosvalr,"rosvalr,50095289"
50095527,sgerp,"sgerp,50095527"
50095058,sgerp,"sgerp,50095058"
50095542,bucmair1,"bucmair1,50095542"
50096575,lmurgar1,"lmurgar1,50096575"
50094775,anechat,"anechat,50094775"
50094776,anetcha2,"anetcha2,50094776"
50094777,anepero,"anepero,50094777"
50094778,anepero2,"anepero2,50094778"
50095463,aqualu1,"aqualu1,50095463"
50095464,aqualu2,"aqualu2,50095464"
50095393,bcohua2,"bcohua2,50095393"
50095102,bcohuan,"bcohuan,50095102"
50095130,benbois,"benbois,50095130"
50095129,benbois2,"benbois2,50095129"
50095131,benegli,"benegli,50095131"
50095132,benegli2,"benegli2,50095132"
50095133,benglot,"benglot,50095133"
50095134,benglot2,"benglot2,50095134"
50095135,benpona,"benpona,50095135"
50095136,benponr,"benponr,50095136"
50095137,bentrip,"bentrip,50095137"
50095138,bentrip2,"bentrip2,50095138"
50095139,benvoie,"benvoie,50095139"
50095140,benvoie2,"benvoie2,50095140"
50095391,bnvmai2,"bnvmai2,50095391"
50095089,bnvmair,"bnvmair,50095089"
50095397,boiegl2,"boiegl2,50095397"
50095398,boiegli,"boiegli,50095398"
50095394,boipoir,"boipoir,50095394"
50095103,boipoi2,"boipoi2,50095103"
50095559,bomorv1,"bomorv1,50095559"
50095141,bonceso3,"bonceso3,50095141"
50095142,bonceso2,"bonceso2,50095142"
50095322,bonchen,"bonchen,50095322"
50095323,bonchen2,"bonchen2,50095323"
50095143,boncime,"boncime,50095143"
50095144,boncime2,"boncime2,50095144"
50095320,bonfait,"bonfait,50095320"
50095321,bonfait2,"bonfait2,50095321"
50095376,bongamb,"bongamb,50095376"
50095147,bongamb2,"bongamb2,50095147"
50095148,bongare,"bongare,50095148"
50095149,bongare2,"bongare2,50095149"
50095422,bonguin,"bonguin,50095422"
50095421,bonguin2,"bonguin2,50095421"
50095151,bonhaeg,"bonhaeg,50095151"
50095150,bonhaeg2,"bonhaeg2,50095150"
50095152,bonmonu,"bonmonu,50095152"
50095153,bonmonu2,"bonmonu2,50095153"
50095558,bonmorv,"bonmorv,50095558"
50095145,bonpagn,"bonpagn,50095145"
50095146,bonpagn2,"bonpagn2,50095146"
50095325,bontenn,"bontenn,50095325"
50095324,bontenn2,"bontenn2,50095324"
50095155,bonzacm,"bonzacm,50095155"
50095154,bonzac2,"bonzac2,50095154"
50095079,bosmai2,"bosmai2,50095079"
50095392,bosmair,"bosmair,50095392"
50095344,brucha,"brucha,50095344"
50095345,brucha2,"brucha2,50095345"
50095379,brulray,"brulray,50095379"
50095557,brumair,"brumair,50095557"
50095556,brumair1,"brumair1,50095556"
50094812,bruruen,"bruruen,50094812"
50094811,bruruen2,"bruruen2,50094811"
50095414,brvbut1,"brvbut1,50095414"
50095413,brvbut12,"brvbut12,50095413"
50095402,brvbut2,"brvbut2,50095402"
50095401,brvbut22,"brvbut22,50095401"
50095109,brvcoll,"brvcoll,50095109"
50095399,brvcol2,"brvcol2,50095399"
50095407,brvdev2,"brvdev2,50095407"
50095095,brvdevi,"brvdevi,50095095"
50095400,brvgare2,"brvgare2,50095400"
50094809,brvgare,"brvgare,50094809"
50095406,brvham2,"brvham2,50095406"
50095097,brvhame,"brvhame,50095097"
50095096,brvjus2,"brvjus2,50095096"
50095404,brvjust,"brvjust,50095404"
50095408,brvmul2,"brvmul2,50095408"
50095112,brvmulo,"brvmulo,50095112"
50095122,brvvert,"brvvert,50095122"
50095412,brvvert2,"brvvert2,50095412"
50112220,carnot1,"carnot1,50112220"
50112219,carnot2,"carnot2,50112219"
50095073,cerchau,"cerchau,50095073"
50095074,cerchaur,"cerchaur,50095074"
50095418,cergrer1,"cergrer1,50095418"
50095518,cerneuv,"cerneuv,50095518"
50095517,cerneuv2,"cerneuv2,50095517"
50095417,cerpref2,"cerpref2,50095417"
50095424,cerstch,"cerstch,50095424"
50095425,cerstch2,"cerstch2,50095425"
50095157,chabonn,"chabonn,50095157"
50095156,chabonn2,"chabonn2,50095156"
50095459,charcog,"charcog,50095459"
50109900,chdgaul,"chdgaul,50109900"
50109899,chdgaul1,"chdgaul1,50109899"
50095437,clbtass,"clbtass,50095437"
50095436,clbtass2,"clbtass2,50095436"
50095052,colsul2,"colsul2,50095052"
50095241,condorc2,"condorc2,50095241"
50095240,condorce,"condorce,50095240"
50095310,cracroi,"cracroi,50095310"
50095314,cracroi2,"cracroi2,50095314"
50095159,craegli2,"craegli2,50095159"
50095160,cravcom,"cravcom,50095160"
50095161,cravcom2,"cravcom2,50095161"
