ZDEP,HASTUS,"HASTUS,ZDEP"
50109112,uffchat,"uffchat,50109112"
50109113,uffchat2,"uffchat2,50109113"
50109114,uffcroi,"uffcroi,50109114"
50109115,uffcroi2,"uffcroi2,50109115"
50109116,uffegli,"uffegli,50109116"
50109117,uffegli2,"uffegli2,50109117"
50109118,uffhame,"uffhame,50109118"
50109119,uffhame2,"uffhame2,50109119"
50109120,uffmair,"uffmair,50109120"
50109121,uffmair2,"uffmair2,50109121"
50109122,uffbeno,"uffbeno,50109122"
50109123,elrcent,"elrcent,50109123"
50109124,elrcent2,"elrcent2,50109124"
50109125,elrmoli,"elrmoli,50109125"
50109126,trasqyb,"trasqyb,50109126"
50109127,elrauff,"elrauff,50109127"
50109128,elrauff2,"elrauff2,50109128"
50109129,uffecole,"uffecole,50109129"
50109130,uffstad,"uffstad,50109130"
50109131,uffstad,"uffstad,50109131"
50109132,peygare,"peygare,50109132"
50109133,pergar,"pergar,50109133"
50109134,peyfauv2,"peyfauv2,50109134"
50109135,peyfauv,"peyfauv,50109135"
50109136,uffcarr,"uffcarr,50109136"
50109137,uffcarr2,"uffcarr2,50109137"
50109138,elrgare,"elrgare,50109138"
50109139,uffperra,"uffperra,50109139"
