idfcod,idfarr,"idfarr,idfcod"
50089695,parorle,"parorle,50089695"
50089696,trasqyb,"trasqyb,50089696"
50089697,chesava,"chesava,50089697"
50089698,plahour,"plahour,50089698"
50089699,mauage,"mauage,50089699"
50089700,mauhype,"mauhype,50089700"
50089701,maulavo,"maulavo,50089701"
50089702,maucarn,"maucarn,50089702"
50089703,maugute,"maugute,50089703"
50089704,maucuri,"maucuri,50089704"
50089705,maubear2,"maubear2,50089705"
50089706,maugati2,"maugati2,50089706"
50089707,maunorm,"maunorm,50089707"
50089708,maulsma,"maulsma,50089708"
50089709,maupyra2,"maupyra2,50089709"
50089710,elafcbo,"elafcbo,50089710"
50089711,elanams,"elanams,50089711"
50089712,elapvil,"elapvil,50089712"
50089713,elareau,"elareau,50089713"
50089714,elapass,"elapass,50089714"
50089715,elatemp,"elatemp,50089715"
50089716,tragaga,"tragaga,50089716"
50089717,trapast,"trapast,50089717"
50089718,trastad,"trastad,50089718"
50089719,tralang2,"tralang2,50089719"
50089720,trafarg2,"trafarg2,50089720"
50089721,trahote,"trahote,50089721"
50089722,trarepu3,"trarepu3,50089722"
50089723,trafour,"trafour,50089723"
50089724,tramill,"tramill,50089724"
50089725,mbrmare,"mbrmare,50089725"
50089726,mbrclau,"mbrclau,50089726"
50089727,mbretie,"mbretie,50089727"
50089728,mbrbien,"mbrbien,50089728"
50089729,mbrga31,"mbrga31,50089729"
50089730,mbrdent,"mbrdent,50089730"
50089731,mbrpasl,"mbrpasl,50089731"
50089732,mbrexup,"mbrexup,50089732"
50089733,scebarb,"scebarb,50089733"
50089734,sceplat,"sceplat,50089734"
50089735,scebize,"scebize,50089735"
50089736,vrsgibi,"vrsgibi,50089736"
50089737,vrsrive,"vrsrive,50089737"
50089738,trayvel,"trayvel,50089738"
50089739,trafarg,"trafarg,50089739"
50089740,tralang,"tralang,50089740"
50089741,trastad2,"trastad2,50089741"
50089742,trapast2,"trapast2,50089742"
50089743,tragaga2,"tragaga2,50089743"
50089744,elatemp2,"elatemp2,50089744"
50089745,elapass2,"elapass2,50089745"
50089746,elareau2,"elareau2,50089746"
50089747,elapvil2,"elapvil2,50089747"
50089748,elanams2,"elanams2,50089748"
50089749,elafcbo2,"elafcbo2,50089749"
50089750,maupyra,"maupyra,50089750"
50089751,maulsma2,"maulsma2,50089751"
50089752,maunorm2,"maunorm2,50089752"
50089753,maugati,"maugati,50089753"
50089754,maubear,"maubear,50089754"
50089755,maucuri2,"maucuri2,50089755"
50089756,maugute2,"maugute2,50089756"
50089757,maucarn2,"maucarn2,50089757"
50089758,maulavo2,"maulavo2,50089758"
50089759,mauhype2,"mauhype2,50089759"
50089760,trayvel2,"trayvel2,50089760"
50089761,vrsrive2,"vrsrive2,50089761"
50089762,vrsgibi2,"vrsgibi2,50089762"
50089763,scebize2,"scebize2,50089763"
50089764,sceplat2,"sceplat2,50089764"
50089765,scebarb2,"scebarb2,50089765"
50089766,scecott2,"scecott2,50089766"
50089767,mbrexup2,"mbrexup2,50089767"
50089768,mbrpasl2,"mbrpasl2,50089768"
50089769,mbrdent2,"mbrdent2,50089769"
50089770,mbrga32,"mbrga32,50089770"
50089771,mbrbien2,"mbrbien2,50089771"
50089772,mbretie2,"mbretie2,50089772"
50089773,mbrclau2,"mbrclau2,50089773"
50089774,mbrmare2,"mbrmare2,50089774"
50089775,trafour2,"trafour2,50089775"
50089776,trarepu2,"trarepu2,50089776"
50089777,trahote2,"trahote2,50089777"
50089778,vrssato2,"vrssato2,50089778"
50089779,vrsgril2,"vrsgril2,50089779"
50089780,vrsstan2,"vrsstan2,50089780"
50089781,vrsmate2,"vrsmate2,50089781"
50089782,vrsmena2,"vrsmena2,50089782"
50089783,vrsinra2,"vrsinra2,50089783"
50089784,scerepu2,"scerepu2,50089784"
50089785,scedeux2,"scedeux2,50089785"
50089786,scedeux,"scedeux,50089786"
50089787,scerepu,"scerepu,50089787"
50089788,vrsinra,"vrsinra,50089788"
50089789,vrsmena,"vrsmena,50089789"
50089790,vrsmate,"vrsmate,50089790"
50089791,vrsstan,"vrsstan,50089791"
50089792,vrsgril,"vrsgril,50089792"
50089793,vrssato,"vrssato,50089793"
50089794,elafmin2,"elafmin2,50089794"
50089795,elamalr2,"elamalr2,50089795"
50089796,elaelan,"elaelan,50089796"
50089797,elapcou,"elapcou,50089797"
50089798,elabois3,"elabois3,50089798"
50089799,mauvill,"mauvill,50089799"
50089800,maubois,"maubois,50089800"
50089801,maunorm3,"maunorm3,50089801"
50089802,mbrvill3,"mbrvill3,50089802"
50089803,mbrmac,"mbrmac,50089803"
50089804,mbrhame,"mbrhame,50089804"
50089805,mbrdale,"mbrdale,50089805"
50089806,guyjmon,"guyjmon,50089806"
50089807,guycorb3,"guycorb3,50089807"
50089808,guymich,"guymich,50089808"
50089809,guygaud,"guygaud,50089809"
50089810,guygogo3,"guygogo3,50089810"
50089811,guydelo,"guydelo,50089811"
50089812,guymini,"guymini,50089812"
50089813,bu2lyce,"bu2lyce,50089813"
50089814,guymini3,"guymini3,50089814"
50089815,guydelo2,"guydelo2,50089815"
50089816,guygogo2,"guygogo2,50089816"
50089817,guygaud2,"guygaud2,50089817"
50089818,guymich2,"guymich2,50089818"
50089819,guycorb4,"guycorb4,50089819"
50089820,guyjmon3,"guyjmon3,50089820"
50089821,mbrdale2,"mbrdale2,50089821"
50089822,mbrhame2,"mbrhame2,50089822"
50089823,mbrmac2,"mbrmac2,50089823"
50089824,mbrvill4,"mbrvill4,50089824"
50089825,mbrgouj2,"mbrgouj2,50089825"
50089826,maunorm4,"maunorm4,50089826"
50089827,maubois2,"maubois2,50089827"
50089828,mauvill2,"mauvill2,50089828"
50089829,elabois2,"elabois2,50089829"
50089830,elapcou2,"elapcou2,50089830"
50089831,elaalan2,"elaalan2,50089831"
50089832,elamalr,"elamalr,50089832"
50089833,elafmin,"elafmin,50089833"
50089834,guytech2,"guytech2,50089834"
50089835,guygrad2,"guygrad2,50089835"
50089836,guyetan,"guyetan,50089836"
50089837,guytrou,"guytrou,50089837"
50089838,guyvill2,"guyvill2,50089838"
50089839,guycorb2,"guycorb2,50089839"
50089840,trajaur2,"trajaur2,50089840"
50089841,elanhor2,"elanhor2,50089841"
50089842,elaagar2,"elaagar2,50089842"
50089843,maubret,"maubret,50089843"
50089844,maucorn2,"maucorn2,50089844"
50089845,mauarmo2,"mauarmo2,50089845"
50089846,mauiles2,"mauiles2,50089846"
50089847,maucroi2,"maucroi2,50089847"
50089848,maugran2,"maugran2,50089848"
50089849,mauclos,"mauclos,50089849"
50089850,mauclos2,"mauclos2,50089850"
50089851,maugran,"maugran,50089851"
50089852,maucroi,"maucroi,50089852"
50089853,mauiles,"mauiles,50089853"
50089854,mauarmo,"mauarmo,50089854"
50089855,maucorn,"maucorn,50089855"
50089856,maubret2,"maubret2,50089856"
50089857,elaagar,"elaagar,50089857"
50089858,elanhor,"elanhor,50089858"
50089859,trajaur,"trajaur,50089859"
50089860,guycorb,"guycorb,50089860"
50089861,guytcsp,"guytcsp,50089861"
50089862,guygolf3,"guygolf3,50089862"
50089863,guyvill,"guyvill,50089863"
