idfcod,idfarr,"idfarr,idfcod"
50100618,mevtimb,"mevtimb,50100618"
50100620,braysdf1,"braysdf1,50100620"
50100621,braypru1,"braypru1,50100621"
50100622,copabre1,"copabre1,50100622"
50100623,moemont1,"moemont1,50100623"
50100624,stcbois2,"stcbois2,50100624"
50100625,stcegli1,"stcegli1,50100625"
50100626,buhybuc2,"buhybuc2,50100626"
50100627,lchapch1,"lchapch1,50100627"
50100628,sgervpa1,"sgervpa1,50100628"
50100629,sgervma2,"sgervma2,50100629"
50100630,sgervpe1,"sgervpe1,50100630"
50100633,mevgrou1,"mevgrou1,50100633"
50100634,meveubl2,"meveubl2,50100634"
50100636,mevdano2,"mevdano2,50100636"
50100637,clcl1,"clcl1,50100637"
50100638,vighaut1,"vighaut1,50100638"
50100641,cercite1,"cercite1,50100641"
50100642,cermarj2,"cermarj2,50100642"
50100643,ceprefe2,"ceprefe2,50100643"
50100645,pogalg1,"pogalg1,50100645"
50100647,popiss2,"popiss2,50100647"
50100648,pohopi2,"pohopi2,50100648"
50100649,mevblam1,"mevblam1,50100649"
50100652,vighaut2,"vighaut2,50100652"
50100653,nucacti2,"nucacti2,50100653"
50100654,nuweini1,"nuweini1,50100654"
50100657,ceprefe1,"ceprefe1,50100657"
50100658,cermarj1,"cermarj1,50100658"
50100659,cercite2,"cercite2,50100659"
50100661,mevdano1,"mevdano1,50100661"
50100663,meveubl1,"meveubl1,50100663"
50100666,lchapch2,"lchapch2,50100666"
50100667,buhybuc1,"buhybuc1,50100667"
50100668,stcegli2,"stcegli2,50100668"
50100669,stcbois1,"stcbois1,50100669"
50100670,ponthop2,"ponthop2,50100670"
50100671,popiss1,"popiss1,50100671"
50100673,pontcdg5,"pontcdg5,50100673"
50100674,pondra1,"pondra1,50100674"
50100675,sgervpe2,"sgervpe2,50100675"
50100676,sgervma1,"sgervma1,50100676"
50100677,sgervpa2,"sgervpa2,50100677"
50100678,moemont2,"moemont2,50100678"
50100679,copabre2,"copabre2,50100679"
50100680,braypru2,"braypru2,50100680"
50100681,braysdf2,"braysdf2,50100681"
50100684,ainbuca2,"ainbuca2,50100684"
50100685,aincade2,"aincade2,50100685"
50100686,cyrmair2,"cyrmair2,50100686"
50100687,ainfbr2,"ainfbr2,50100687"
50100688,veatrem2,"veatrem2,50100688"
50100689,veardro1,"veardro1,50100689"
50100690,vearvil1,"vearvil1,50100690"
50100691,vearleg2,"vearleg2,50100691"
50100692,vearmai2,"vearmai2,50100692"
50100693,cheregl1,"cheregl1,50100693"
50100694,rgrg1,"rgrg1,50100694"
50100695,rogmair2,"rogmair2,50100695"
50100696,rogiges2,"rogiges2,50100696"
50100697,haurobl2,"haurobl2,50100697"
50100698,haumair2,"haumair2,50100698"
50100699,hauchan2,"hauchan2,50100699"
50100700,haulaps2,"haulaps2,50100700"
50100701,vetmair2,"vetmair2,50100701"
50100702,stmrman1,"stmrman1,50100702"
50100703,stmmair1,"stmmair1,50100703"
50100704,mljstma1,"mljstma1,50100704"
50100705,paljust1,"paljust1,50100705"
50100706,mljgare1,"mljgare1,50100706"
50100707,cyrmair1,"cyrmair1,50100707"
50100708,viemill1,"viemill1,50100708"
50100709,vetorme1,"vetorme1,50100709"
50100710,chausdf1,"chausdf1,50100710"
50100711,chefoye1,"chefoye1,50100711"
50100712,limcond1,"limcond1,50100712"
50100713,viemair2,"viemair2,50100713"
50100714,viechau1,"viechau1,50100714"
50100715,vearmai1,"vearmai1,50100715"
50100716,vearleg1,"vearleg1,50100716"
50100717,vearvil2,"vearvil2,50100717"
50100718,veardro2,"veardro2,50100718"
50100719,veatrem1,"veatrem1,50100719"
50100720,aincade1,"aincade1,50100720"
50100721,ainhopi1,"ainhopi1,50100721"
50100722,aincent1,"aincent1,50100722"
50100723,ainegli1,"ainegli1,50100723"
50100724,drocmai1,"drocmai1,50100724"
50100725,viechau2,"viechau2,50100725"
50100726,viemair1,"viemair1,50100726"
50100728,mljmair1,"mljmair1,50100728"
50100729,mljsang1,"mljsang1,50100729"
50100730,stmmair2,"stmmair2,50100730"
50100731,stmrman2,"stmrman2,50100731"
50100732,vetmair1,"vetmair1,50100732"
50100733,haulaps1,"haulaps1,50100733"
50100734,hauchan1,"hauchan1,50100734"
50100735,haumair1,"haumair1,50100735"
50100736,haurobl1,"haurobl1,50100736"
50100737,rogiges1,"rogiges1,50100737"
50100738,rogmair1,"rogmair1,50100738"
50100739,rgrg2,"rgrg2,50100739"
50100740,cheregl2,"cheregl2,50100740"
50100741,chefoye2,"chefoye2,50100741"
50100742,chausdf2,"chausdf2,50100742"
50100744,ainbuca1,"ainbuca1,50100744"
50100745,vetorme2,"vetorme2,50100745"
50100746,viemill2,"viemill2,50100746"
50100747,ainhopi2,"ainhopi2,50100747"
50100748,ainfbr1,"ainfbr1,50100748"
50100749,nucweni2,"nucweni2,50100749"
50100750,lbev2,"lbev2,50100750"
50100751,commeny2,"commeny2,50100751"
50100752,gouzan1,"gouzan1,50100752"
50100753,pereque1,"pereque1,50100753"
50100754,uschamp1,"uschamp1,50100754"
50100755,usmai1,"usmai1,50100755"
50100756,ablvio1,"ablvio1,50100756"
50100757,ablcote2,"ablcote2,50100757"
50100758,mongcou1,"mongcou1,50100758"
50100759,blahu1,"blahu1,50100759"
50100760,puiseux1,"puiseux1,50100760"
50100762,cehauex1,"cehauex1,50100762"
50100763,puiseux2,"puiseux2,50100763"
50100764,blahu2,"blahu2,50100764"
50100765,mongcou2,"mongcou2,50100765"
50100766,ablcote1,"ablcote1,50100766"
50100767,ablvio2,"ablvio2,50100767"
50100768,usmai2,"usmai2,50100768"
50100769,uschamp2,"uschamp2,50100769"
50100770,pereque2,"pereque2,50100770"
50100771,gouzan2,"gouzan2,50100771"
50100772,commeny1,"commeny1,50100772"
50100774,mevgare1,"mevgare1,50100774"
50100775,mevblam2,"mevblam2,50100775"
50100776,vet3til1,"vet3til1,50100776"
50100777,amrocon1,"amrocon1,50100777"
50100778,ammalga1,"ammalga1,50100778"
50100779,ammairi1,"ammairi1,50100779"
50100780,amblegl1,"amblegl1,50100780"
50100781,ambltou1,"ambltou1,50100781"
50100782,omermes1,"omermes1,50100782"
50100783,stcbreu1,"stcbreu1,50100783"
50100784,lchapsf2,"lchapsf2,50100784"
50100785,mevgrouE,"mevgrouE,50100785"
50100786,vetgoul1,"vetgoul1,50100786"
50100787,sgervdu1,"sgervdu1,50100787"
50100788,amblvau1,"amblvau1,50100788"
50100789,ambltou2,"ambltou2,50100789"
50100791,chauegl1,"chauegl1,50100791"
50100792,omermai2,"omermai2,50100792"
50100793,hodrbla3,"hodrbla3,50100793"
50100795,mevdlun1,"mevdlun1,50100795"
50100796,sgervdu2,"sgervdu2,50100796"
50100797,omermes2,"omermes2,50100797"
50100798,ammairi2,"ammairi2,50100798"
50100799,ammalga2,"ammalga2,50100799"
50100800,amrocon2,"amrocon2,50100800"
50100801,omermai1,"omermai1,50100801"
50100802,chauegl2,"chauegl2,50100802"
50100803,vet3til2,"vet3til2,50100803"
50100804,vetgoul2,"vetgoul2,50100804"
50100805,hodrbla4,"hodrbla4,50100805"
50100806,vearpla1,"vearpla1,50100806"
50100807,chahaso2,"chahaso2,50100807"
50100808,chavill1,"chavill1,50100808"
50100809,mevvela2,"mevvela2,50100809"
50100812,chavill2,"chavill2,50100812"
50100813,chahaso1,"chahaso1,50100813"
50100814,vearpla2,"vearpla2,50100814"
50100815,mevvela1,"mevvela1,50100815"
50100816,wydhaze1,"wydhaze1,50100816"
50100817,wydenfe1,"wydenfe1,50100817"
50100818,artctre1,"artctre1,50100818"
50100820,genegli2,"genegli2,50100820"
50100821,genecol1,"genecol1,50100821"
50100822,hodorbo1,"hodorbo1,50100822"
50100823,maevmez2,"maevmez2,50100823"
50100824,artfeug1,"artfeug1,50100824"
50100825,drorno1,"drorno1,50100825"
50100826,chamair1,"chamair1,50100826"
50100827,hodorbo2,"hodorbo2,50100827"
50100828,genecol2,"genecol2,50100828"
50100829,genegli1,"genegli1,50100829"
50100830,maevegl2,"maevegl2,50100830"
50100831,artctre2,"artctre2,50100831"
50100832,ainegli2,"ainegli2,50100832"
50100834,chamair2,"chamair2,50100834"
50100835,maevmez1,"maevmez1,50100835"
50100836,wydenfe2,"wydenfe2,50100836"
50100837,wydhaze2,"wydhaze2,50100837"
50100838,avemair3,"avemair3,50100838"
50100839,gadmair1,"gadmair1,50100839"
50100840,wydhenr1,"wydhenr1,50100840"
50100841,wydegli1,"wydegli1,50100841"
50100842,guilavo1,"guilavo1,50100842"
50100843,clecler2,"clecler2,50100843"
50100844,banegli2,"banegli2,50100844"
50100845,chacalv1,"chacalv1,50100845"
50100846,banegli1,"banegli1,50100846"
50100847,cleegli1,"cleegli1,50100847"
50100848,cleegli2,"cleegli2,50100848"
50100849,chacalv2,"chacalv2,50100849"
50100850,wydhenr2,"wydhenr2,50100850"
50100851,gadmair2,"gadmair2,50100851"
50100852,avemair4,"avemair4,50100852"
50100853,clecler1,"clecler1,50100853"
50100854,guilavo2,"guilavo2,50100854"
50100855,wydegli2,"wydegli2,50100855"
50100856,mevbpie1,"mevbpie1,50100856"
50100857,lbvgrue2,"lbvgrue2,50100857"
50100858,chacvi1,"chacvi1,50100858"
50100859,chrlpro1,"chrlpro1,50100859"
50100860,serans1,"serans1,50100860"
50100861,hadhada2,"hadhada2,50100861"
50100862,liervil1,"liervil1,50100862"
50100863,nuhard1,"nuhard1,50100863"
50100864,nuboich2,"nuboich2,50100864"
50100865,nucrha2,"nucrha2,50100865"
50100866,hadhada1,"hadhada1,50100866"
50100867,Bouconv2,"Bouconv2,50100867"
50100869,nuboich1,"nuboich1,50100869"
50100870,nuhard2,"nuhard2,50100870"
50100871,Bouconv1,"Bouconv1,50100871"
50100872,mamet1,"mamet1,50100872"
50100873,mazoa2,"mazoa2,50100873"
50100874,mahop1,"mahop1,50100874"
50100875,margen1,"margen1,50100875"
50100876,maces1,"maces1,50100876"
50100878,lbevsdf1,"lbevsdf1,50100878"
50100879,liervil2,"liervil2,50100879"
50100880,serans2,"serans2,50100880"
50100881,chacvi2,"chacvi2,50100881"
50100882,chaber1,"chaber1,50100882"
50100883,lbev1,"lbev1,50100883"
50100884,margen2,"margen2,50100884"
50100885,mahop2,"mahop2,50100885"
50100886,mamet2,"mamet2,50100886"
50100887,lbvgrue1,"lbvgrue1,50100887"
50100888,nucrha1,"nucrha1,50100888"
50100889,brlucol1,"brlucol1,50100889"
50100890,chaculf1,"chaculf1,50100890"
50100891,buhbuch1,"buhbuch1,50100891"
50100893,stcplma2,"stcplma2,50100893"
50100894,buhyclo1,"buhyclo1,50100894"
50100895,moeansi2,"moeansi2,50100895"
50100896,lchapsf1,"lchapsf1,50100896"
50100897,moeansi1,"moeansi1,50100897"
50100898,buhyclo2,"buhyclo2,50100898"
50100899,stcplma1,"stcplma1,50100899"
50100900,genegli3,"genegli3,50100900"
50100901,cstcgal2,"cstcgal2,50100901"
50100904,sgervet1,"sgervet1,50100904"
