idfcod,idfarr,"idfarr,idfcod"
50089537,limgesaa,"limgesaa,50089537"
50089538,limsoura,"limsoura,50089538"
50089539,limcroma,"limcroma,50089539"
50089540,limabra,"limabra,50089540"
50089541,limhauta,"limhauta,50089541"
50089542,limfora,"limfora,50089542"
50089543,limboma,"limboma,50089543"
50089544,limhcela,"limhcela,50089544"
50089545,limhautr,"limhautr,50089545"
50089546,limabrr,"limabrr,50089546"
50089547,limcromr,"limcromr,50089547"
50089548,limsourr,"limsourr,50089548"
50089549,limgesar,"limgesar,50089549"
50089550,limpaixr,"limpaixr,50089550"
50089551,limmonur,"limmonur,50089551"
50089552,limchapr,"limchapr,50089552"
50089553,limpontr,"limpontr,50089553"
50089554,mljramr,"mljramr,50089554"
50089555,mljnunga,"mljnunga,50089555"
50089556,mljcharc,"mljcharc,50089556"
50089557,mljdivr,"mljdivr,50089557"
50089558,bucmaia,"bucmaia,50089558"
50089559,magmara,"magmara,50089559"
50089560,mlveura,"mlveura,50089560"
50089561,mljpjua,"mljpjua,50089561"
50089562,limcondr,"limcondr,50089562"
50089563,limapar,"limapar,50089563"
50089564,limfstr,"limfstr,50089564"
50089565,limrtmr,"limrtmr,50089565"
50089566,limccor,"limccor,50089566"
50089567,limbamr,"limbamr,50089567"
50089568,limchsr,"limchsr,50089568"
50089569,limlogr,"limlogr,50089569"
50089570,limhvir,"limhvir,50089570"
50089571,limplmr,"limplmr,50089571"
50089572,mlveurr,"mlveurr,50089572"
50089573,limplta,"limplta,50089573"
50089574,limhvia,"limhvia,50089574"
50089575,limloga,"limloga,50089575"
50089576,limchsa,"limchsa,50089576"
50089577,limbama,"limbama,50089577"
50089578,limccoa,"limccoa,50089578"
50089579,limrtma,"limrtma,50089579"
50089580,limfsta,"limfsta,50089580"
50089581,limapa,"limapa,50089581"
50089582,mljzola2,"mljzola2,50089582"
50089583,curier,"curier,50089583"
50089584,mljrlacr,"mljrlacr,50089584"
50089585,mljrlaca,"mljrlaca,50089585"
50089586,curiea,"curiea,50089586"
50089587,mljzola,"mljzola,50089587"
50089588,mljschoa,"mljschoa,50089588"
50089589,limmacr,"limmacr,50089589"
50089590,limfoar,"limfoar,50089590"
50089591,limfoaa,"limfoaa,50089591"
50089592,limmaca,"limmaca,50089592"
50089593,mljschor,"mljschor,50089593"
50089594,charcoa,"charcoa,50089594"
50089595,charcor,"charcor,50089595"
50089596,mljschr,"mljschr,50089596"
50089597,mlvpnora,"mlvpnora,50089597"
50089598,pinceva,"pinceva,50089598"
50089599,pincevar,"pincevar,50089599"
50089600,mlvpnorr,"mlvpnorr,50089600"
50089601,mljscha,"mljscha,50089601"
50089602,magfontr,"magfontr,50089602"
50089603,magfonta,"magfonta,50089603"
50089604,magmair2,"magmair2,50089604"
50089641,garemlj2,"garemlj2,50089641"
50089642,mlj_hop,"mlj_hop,50089642"
50089643,mlj_hop4,"mlj_hop4,50089643"
50089644,ponchar,"ponchar,50089644"
50089645,bucopsa,"bucopsa,50089645"
50089646,bucposr,"bucposr,50089646"
50089648,mljilea,"mljilea,50089648"
50089649,mljiler,"mljiler,50089649"
50000000,mljtvm,"mljtvm,50000000"
50000001,garemlj4,"garemlj4,50000001"
50000002,rtebuchr,"rtebuchr,50000002"
50000003,lavoisir,"lavoisir,50000003"
50000004,degaulr,"degaulr,50000004"
50000005,bizetr,"bizetr,50000005"
50000006,mozartr,"mozartr,50000006"
50000007,doretr,"doretr,50000007"
50000008,godeaur,"godeaur,50000008"
50000009,fragonar,"fragonar,50000009"
50000010,degasr,"degasr,50000010"
50000011,degasa,"degasa,50000011"
50000012,fragonaa,"fragonaa,50000012"
50000013,godeaua,"godeaua,50000013"
50000014,doret,"doret,50000014"
50000015,mozarta,"mozarta,50000015"
50000016,bizeta,"bizeta,50000016"
50000017,degaula,"degaula,50000017"
50000018,lavoisia,"lavoisia,50000018"
50000019,rtebucha,"rtebucha,50000019"
50000020,garemljv,"garemljv,50000020"
50000021,relacant,"relacant,50000021"
50000022,steannn,"steannn,50000022"
50000023,portfant,"portfant,50000023"
50000024,cliniqr,"cliniqr,50000024"
50000025,garennes,"garennes,50000025"
50000026,charcot,"charcot,50000026"
50000027,ramon,"ramon,50000027"
50000028,patina,"patina,50000028"
50000029,geoandra,"geoandra,50000029"
50000030,vailan2a,"vailan2a,50000030"
50000031,garemlj5,"garemlj5,50000031"
50000032,vailan1r,"vailan1r,50000032"
50000033,geoandrr,"geoandrr,50000033"
50000034,patinr,"patinr,50000034"
50000035,charcotr,"charcotr,50000035"
50000036,garennre,"garennre,50000036"
50000037,porfhor,"porfhor,50000037"
50000038,steann2,"steann2,50000038"
50000039,croifer,"croifer,50000039"
50000040,vailan1a,"vailan1a,50000040"
50000041,pberta,"pberta,50000041"
50000042,gendara,"gendara,50000042"
50000043,corota,"corota,50000043"
50000044,maljuina,"maljuina,50000044"
50000045,hotville,"hotville,50000045"
50000046,sangle,"sangle,50000046"
50000047,garemlj6,"garemlj6,50000047"
50000048,leclerc,"leclerc,50000048"
50000049,normand,"normand,50000049"
50000050,hopitalr,"hopitalr,50000050"
